"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"14620000";"BOA VISTA";2025-01-25 04:30:00;2025-01-25 03:30:00;2025-01-25 02:30:00;33;0;-15;-82;-43;20,2;26,2;"BRANCO";38;;"2011";126;-41;372;"0%-10%";
"14710000";"CARACARAI";2025-01-25 05:15:00;2025-01-25 04:15:00;2025-01-25 03:15:00;90;-3;-20;-73;-39;0,8;4,4;"BRANCO";85;;"2011";138;16;483;"20%-30%";
"14489000";"MARACA";2025-01-25 04:45:00;2025-01-25 03:45:00;2025-01-25 02:45:00;379;3;-16;-65;-66;1,4;13,2;"URARICOERA";385;;"2021";458;331;700;"0%-10%";
"14495000";"FAZENDA CAJUPIRANGA";2025-01-25 05:15:00;2025-01-25 04:15:00;2025-01-25 03:15:00;465;1;-18;-66;-61;0,8;0,8;"URARICOERA";471;;"2021";514;412;776;"0%-10%";
"14515000";"FAZENDA PASSARAO";2025-01-25 04:30:00;2025-01-25 03:30:00;2025-01-25 02:30:00;556;-3;-18;-77;-55;2,4;7,2;"URARICOERA";576;;"2011";610;495;902;"20%-30%";
"14527000";"PONTE DO TACUTU";2025-01-25 04:30:00;2025-01-25 03:30:00;2025-01-25 02:30:00;414;-1;-14;-49;-24;0;5,2;"TACUTU";428;;"2011";458,5;371;650;"0%-10%";
"14530000";"VILA SURUMU";2025-01-25 05:00:00;2025-01-25 04:00:00;2025-01-25 03:00:00;270;7;3;-2;-9;0;0,2;"SURUMU";260;;"2015";291,5;221;357;"30%-40%";
"14680001";"FE E ESPERANCA";2025-01-25 04:30:00;2025-01-25 03:30:00;2025-01-25 02:30:00;173;0;-9;-24;-55;0,2;2;"MUCAJAÍ";189;;"1976";222;135;365;"0%-10%";
"14690000";"MUCAJAI";2025-01-25 04:30:00;2025-01-25 03:30:00;2025-01-25 02:30:00;846;-2;-12;-45;-51;0;1,8;"MUCAJAÍ";850;;"2011";936;784;1196;"0%-10%";
"14100000";"Manacapuru";2025-01-25 04:15:00;2025-01-25 03:15:00;2025-01-25 02:15:00;1293;7;60;135;257;6,8;36,4;"SOLIMOES";1268;;"2021";1341;987;1546;"30%-40%";
"14320001";"São Gabriel da Cachoeira";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;
"14400000";"Tapuruquara";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;
"14420000";"Serrinha";2025-01-25 05:00:00;2025-01-25 04:00:00;2025-01-25 03:00:00;606;-24;-130;-174;-101;3,4;4,8;"NEGRO";562;;"2019";587;411;926;"40%-50%";
"14480002";"Barcelos";2025-01-25 05:00:00;2025-01-25 04:00:00;2025-01-25 03:00:00;433;-7;-26;3;67;20,6;41;"NEGRO";306;;"2022";360;154;646;"80%-90%";
"14990000";"Manaus";2025-01-25 04:45:00;2025-01-25 03:45:00;2025-01-25 02:45:00;2185;13;74;160;292;0;0,4;"NEGRO";;;"2012";2194;1758;2455;"40%-50%";
